,pi,ro,collab,institute,scope
609,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Peter J Schmidt, MD",Section on Behavioral Endocrinology,NIMH
610,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,Shau-Ming  Wei,Section on Behavioral Endocrinology,NIMH
611,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Bhaskar S Kolachana, PhD",Human Brain Collection Core,NIMH
612,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH
613,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Jun  Shen, PhD",Molecular Imaging Branch,NIMH
614,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Johan W Van Der Veen, PhD",Magnetic Resonance Core,NIMH
618,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Elizabeth Day Ballard, PhD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
619,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,NIMH
620,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,NIMH
621,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
623,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Lisa Meryl Horowitz, PhD",Office of the Clinical Director,NIMH
624,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH
625,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH
626,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
668,"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,NIMH
669,"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Zheng  Li, PhD",Section on Synapse Development Plasticity,NIMH
670,"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,NIMH
671,"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH
681,"Leslie G Ungerleider, PhD",Section on Neurocircuitry,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH
686,"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH
687,"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,NIMH
688,"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH
689,"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,NIMH
696,"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Francisco  Pereira, PhD",Machine Learning Team,NIMH
697,"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Charles Yang Zheng, PhD",Section on Functional Imaging Methods,NIMH
698,"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Francisco  Pereira, PhD",Machine Learning Team,NIMH
699,"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Charles Yang Zheng, PhD",Section on Functional Imaging Methods,NIMH
700,"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,NIMH
714,"Maryland  Pao, BA, MD",Office of the Clinical Director,"Elizabeth Day Ballard, PhD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
715,"Maryland  Pao, BA, MD",Office of the Clinical Director,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH
716,"Maryland  Pao, BA, MD",Office of the Clinical Director,"Monique  Ernst, MD, PhD",Section on Neurobiology of Fear and Anxiety,NIMH
717,"Maryland  Pao, BA, MD",Office of the Clinical Director,"Jian-Ping  He, MS",Section on Developmental Genetic Epidemiology,NIMH
718,"Maryland  Pao, BA, MD",Office of the Clinical Director,"Shruti A Japee, BS, MS, PhD",Section on Cognitive Neuropsychology,NIMH
720,"Maryland  Pao, BA, MD",Office of the Clinical Director,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH
721,"Maryland  Pao, BA, MD",Office of the Clinical Director,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,NIMH
722,"Maryland  Pao, BA, MD",Office of the Clinical Director,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH
723,"Maryland  Pao, BA, MD",Office of the Clinical Director,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH
726,"Maryland  Pao, BA, MD",Office of the Clinical Director,"Armin  Raznahan, PhD",Unit on Developmental Neurogenomics,NIMH
728,"Maryland  Pao, BA, MD",Office of the Clinical Director,"Adam G Thomas, DPhil",Data Science and Sharing Team,NIMH
729,"Maryland  Pao, BA, MD",Office of the Clinical Director,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH
807,"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH
808,"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Robert  Innis, MD",Section on PET Neuroimaging Sciences,NIMH
809,"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,NIMH
810,"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Peter J Schmidt, MD",Section on Behavioral Endocrinology,NIMH
811,"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
818,"Miles  Herkenham, PhD",Section on Functional Neroanatomy,"Barbara K Lipska, PhD",Human Brain Collection Core,NIMH
829,"Peter A Bandettini, BS, PhD",Functional MRI Core,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH
830,"Peter A Bandettini, BS, PhD",Functional MRI Core,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,NIMH
831,"Peter A Bandettini, BS, PhD",Functional MRI Core,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH
832,"Peter A Bandettini, BS, PhD",Functional MRI Core,"Robert  Cox, PhD",Scientific and Statistical Computing Core,NIMH
833,"Peter A Bandettini, BS, PhD",Functional MRI Core,"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,NIMH
834,"Peter A Bandettini, BS, PhD",Functional MRI Core,"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,NIMH
835,"Peter A Bandettini, BS, PhD",Functional MRI Core,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH
836,"Peter A Bandettini, BS, PhD",Functional MRI Core,"Elisha Prem Merriam, PhD",Section on Neurocircuitry,NIMH
837,"Peter A Bandettini, BS, PhD",Functional MRI Core,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH
839,"Peter A Bandettini, BS, PhD",Functional MRI Core,"Armin  Raznahan, PhD",Unit on Developmental Neurogenomics,NIMH
840,"Peter A Bandettini, BS, PhD",Functional MRI Core,"Peter J Schmidt, MD",Section on Behavioral Endocrinology,NIMH
841,"Peter A Bandettini, BS, PhD",Functional MRI Core,"Jun  Shen, PhD",Molecular Imaging Branch,NIMH
842,"Peter A Bandettini, BS, PhD",Functional MRI Core,"Argyrios  Stringaris, PhD",Section on Mood Dysregulation and Neuroscience,NIMH
844,"Peter A Bandettini, BS, PhD",Functional MRI Core,"Leslie G Ungerleider, PhD",Section on Neurocircuitry,NIMH
845,"Peter A Bandettini, BS, PhD",Functional MRI Core,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
878,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,NIMH
879,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Robert  Cox, PhD",Scientific and Statistical Computing Core,NIMH
880,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"John Andrew Derbyshire, PhD",Functional MRI Core,NIMH
881,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,NIMH
882,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Linqing Michael Li, PhD",Functional MRI Core,NIMH
883,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Sean  Marrett, PhD",Functional MRI Core,NIMH
884,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH
885,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Francisco  Pereira, PhD",Machine Learning Team,NIMH
886,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH
887,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Vinai  Roopchansingh, PhD",Functional MRI Core,NIMH
888,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Leslie G Ungerleider, PhD",Section on Neurocircuitry,NIMH
889,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
901,"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH
902,"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH
903,"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH
927,"Robert  Cox, PhD",Scientific and Statistical Computing Core,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH
928,"Robert  Cox, PhD",Scientific and Statistical Computing Core,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH
929,"Robert  Cox, PhD",Scientific and Statistical Computing Core,"Monique  Ernst, MD, PhD",Section on Neurobiology of Fear and Anxiety,NIMH
930,"Robert  Cox, PhD",Scientific and Statistical Computing Core,"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,NIMH
931,"Robert  Cox, PhD",Scientific and Statistical Computing Core,"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,NIMH
932,"Robert  Cox, PhD",Scientific and Statistical Computing Core,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH
933,"Robert  Cox, PhD",Scientific and Statistical Computing Core,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH
934,"Robert  Cox, PhD",Scientific and Statistical Computing Core,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH
935,"Robert  Cox, PhD",Scientific and Statistical Computing Core,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH
936,"Robert  Cox, PhD",Scientific and Statistical Computing Core,"Barry J Richmond, MD",Section on Neural Coding and Computation,NIMH
937,"Robert  Cox, PhD",Scientific and Statistical Computing Core,"Argyrios  Stringaris, PhD",Mood Brain & Development Unit,NIMH
938,"Robert  Cox, PhD",Scientific and Statistical Computing Core,"Leslie G Ungerleider, PhD",Section on Neurocircuitry,NIMH
939,"Robert  Cox, PhD",Scientific and Statistical Computing Core,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
955,"Robert  Innis, MD",Section on PET Neuroimaging Sciences,"Barry J Richmond, MD",Section on Neural Coding and Computation,NIMH
956,"Robert  Innis, MD",Section on PET Neuroimaging Sciences,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
957,"Robert  Innis, MD",Section on PET Neuroimaging Sciences,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
965,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH
966,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH
967,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,NIMH
968,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH
985,"Soohyun  Lee, PhD",Unit on Functional Neural Circuits,"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,NIMH
986,"Soohyun  Lee, PhD",Unit on Functional Neural Circuits,"Theodore B Usdin, MD",Systems Neuroscience Imaging Resource,NIMH
987,"Soohyun  Lee, PhD",Unit on Functional Neural Circuits,"Francisco  Pereira, PhD",Machine Learning Team,NIMH
999,"Theodore B Usdin, MD",Systems Neuroscience Imaging Resource,"Heather A Cameron, PhD",Section on Neuroplasticity,NIMH
1000,"Theodore B Usdin, MD",Systems Neuroscience Imaging Resource,"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,NIMH
1001,"Theodore B Usdin, MD",Systems Neuroscience Imaging Resource,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH
1002,"Theodore B Usdin, MD",Systems Neuroscience Imaging Resource,"Walter Scott Young, MD, PhD, MPH",Section on Neural Gene Expression,NIMH
1007,"Victor W Pike, PhD",Section on PET Radiopharmaceutical Sciences,"George Raphael Dold, MS",Section on Instrumentation,NIMH
1008,"Victor W Pike, PhD",Section on PET Radiopharmaceutical Sciences,"Robert  Innis, MD",Section on PET Neuroimaging Sciences,NIMH
1009,"Victor W Pike, PhD",Section on PET Radiopharmaceutical Sciences,"Barry J Richmond, MD",Section on Neural Coding and Computation,NIMH
1027,"Yogita  Chudasama, PhD",Rodent Behavioral Core,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH
1028,"Yogita  Chudasama, PhD",Rodent Behavioral Core,"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,NIMH
1029,"Yogita  Chudasama, PhD",Rodent Behavioral Core,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH
1030,"Yogita  Chudasama, PhD",Rodent Behavioral Core,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH
1032,"Yogita  Chudasama, PhD",Section on Behavioral Neuroscience,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH
1033,"Yogita  Chudasama, PhD",Section on Behavioral Neuroscience,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH
1034,"Yogita  Chudasama, PhD",Section on Behavioral Neuroscience,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH
1035,"Yogita  Chudasama, PhD",Section on Behavioral Neuroscience,"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,NIMH
1036,"Yogita  Chudasama, PhD",Section on Behavioral Neuroscience,"Peter J Schmidt, MD",Section on Behavioral Endocrinology,NIMH
1037,"Yogita  Chudasama, PhD",Section on Behavioral Neuroscience,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH
1039,"Zheng  Li, PhD",Section on Synapse Development Plasticity,"Lee E Eiden, PhD",Section on Molecular Neuroscience,NIMH
1045,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,"Elizabeth Day Ballard, PhD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
1046,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH
1047,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,"George Raphael Dold, MS",Section on Instrumentation,NIMH
1048,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,"Monique  Ernst, MD, PhD",Section on Neurobiology of Fear and Anxiety,NIMH
1049,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,"Cristan Ann Farmer, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH
1050,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,"Jessica  Gilbert, PhD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
1051,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,NIMH
1052,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,Bashkim  Kadriu,Office of the Clinical Director,NIMH
1053,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH
1054,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,"Lawrence Taeseng Park, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
1055,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,"Bruce Allen Pritchard, BSEE",Section on Instrumentation,NIMH
1056,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,"Argyrios  Stringaris, PhD",Mood Brain & Development Unit,NIMH
1057,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH
1058,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
