pi,ro,collab,institute,scope,collabing_pi
"Bruno B Averbeck, PhD",Section on Learning and Decision Making,Sukhwinder  Shergill,King's College London,EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,NIMH,"Christian  Grillon, PhD"
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Ioline D Henter, MA",Section on PET Neuroimaging Sciences,NIMH,"Robert  Innis, MD"
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,NIMH,"Francis Joseph McMahon, MD"
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH,"Kathleen R Merikangas, PhD"
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH,"Allison Carol Nugent, PhD"
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Francisco  Pereira, PhD",Machine Learning Team,NIMH,"Francisco  Pereira, PhD"
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,NIMH,"Dietmar  Plenz, PhD"
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Argyrios  Stringaris, PhD",Mood Brain & Development Unit,NIMH,"Argyrios  Stringaris, PhD"
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,NIMH,"Francis Joseph McMahon, MD"
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH,"Kathleen R Merikangas, PhD"
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH,"Allison Carol Nugent, PhD"
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Argyrios  Stringaris, PhD",Mood Brain & Development Unit,NIMH,"Argyrios  Stringaris, PhD"
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,Mathew  Brookes,University of Nottingham,EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,Hector  Caruncho,University of Victoria,EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,Dennis  Charney,"Icahn School of Medicine at Mount Sinai, Psychiatry",EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,Todd  Gould,"University of Maryland, Baltimore",EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,Siegfried  Kasper,"University of Vienna, Psychiatry",EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,Rupert  Lazenberger,Medical University of Vienna,EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,Sanjay  mathew,"Baylor College of Medicine, Psychiatry",EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,James  Murrough,"Icahn School of Medicine at Mount Sinai, Psychiatry",EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,Maria  Oquendo,"Columbia University, Psychiatry",EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,Maurizio  Popoli,University of Milano-Bicocca,EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,Jonathan  Roiser,University of College London,EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,Bryan  Roth,"University of North Carolina System, Department of Pharmacoogy",EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,gerard  sanacora,"Yale University, Psychiatry",EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,R  Schwartz,"University of Maryland, Baltimore",EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,Allan  Young,King's College London,EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,Daniel  Dickstein,"Brown University, School of Medicine, Department of Psychiatry",EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,Todd  Gould,"University of Maryland, Baltimore",EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,Matthew  Nock,Harvard University,EM,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Michael  Michaelides, BS, PhD",NIDA,NIH,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Ruin  Moaddel, PhD",NIA,NIH,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Leorey Nagac Saligan, PhD",NINR,NIH,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Craig Joseph Thomas, PhD",NCATS,NIH,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Michael  Michaelides, BS, PhD",NIDA,NIH,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Ruin  Moaddel, PhD",NIA,NIH,
"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,"Craig Joseph Thomas, PhD",NCATS,NIH,
"Carolyn E Smith, PhD",Section on Neuro-adaptation and Protein Metabolism,Mark  Gurney,Tetra Therapeutics (United States),EM,
"Carolyn E Smith, PhD",Section on Neuro-adaptation and Protein Metabolism,Thomas  Balkin,"Walter Reed Army Institute of Research, Department of Behavioral Biology",EM,
"Carolyn E Smith, PhD",Section on Neuro-adaptation and Protein Metabolism,"Zenaide Maria Quezado, MD",CC,NIH,
"Carolyn E Smith, PhD",Section on Neuro-adaptation and Protein Metabolism,Dante  Picchioni,NINDS,NIH,
"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,"Lee E Eiden, PhD",Section on Molecular Neuroscience,NIMH,"Lee E Eiden, PhD"
"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,"Soohyun  Lee, PhD",Unit on Functional Neural Circuits,NIMH,"Soohyun  Lee, PhD"
"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,"Theodore B Usdin, MD",Systems Neuroscience Imaging Resource,NIMH,"Theodore B Usdin, MD"
"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,"Walter Scott Young, MD, PhD, MPH",Section on Neural Gene Expression,NIMH,"Walter Scott Young, MD, PhD, MPH"
"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,Nicole  Calakos,Duke University,EM,
"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,Savio  Chan,Northwestern University,EM,
"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,Rui Manuel Costa,Columbia University Medical Center,EM,
"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,Bryan M Hooks,"University of Pittsburgh, Department of Neurobiology",EM,
"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,Hidehiko  Inagaki,Max Planck Florida Institute for Neuroscience,EM,
"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,Nuo  Li,Baylor College of Medicine,EM,
"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,Alexandra B Nelson,"University of California, San Francisco, Department of Neurology",EM,
"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,K  Svoboda,"Howard Hughes Medical Institute, Neuroscience",EM,
"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,"Andrew  Holmes, PhD",NIAAA,NIH,
"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,"Richard J Krauzlis, PhD",NEI,NIH,
"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,"Da-Ting  Lin, PhD",NIDA,NIH,
"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH,"Kathleen R Merikangas, PhD"
"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,Neill  Epperson,"University of Pennsylvania, School of Medicine, Department of Psychiatry",EM,
"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,Liisa  Hantsoo,The Johns Hopkins University School of Medicine,EM,
"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,Aude  Henin,"Massachusetts General Hospital, Child CBT Program",EM,
"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,Elizabeth  Hoge,"Georgetown University, School of Medicine, Department of Psychiatry",EM,
"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,Sara  Kornfield,"University of Pennsylvania, Penn Center for Women's Behavioral Wellness",EM,
"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,Sanjay  mathew,"Baylor College of Medicine, Psychiatry",EM,
"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,Alan  Swann,"Baylor College of Medicine, Menninger Department of Psychiatry & Behavioral Sc",EM,
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,NIMH,"Elisabeth Adams Murray, PhD"
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH,"David A Leopold, PhD"
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH,"Alex  Martin, PhD"
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,"Elisha Prem Merriam, PhD",Section on Neurocircuitry,NIMH,"Leslie G Ungerleider, PhD"
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,"Francisco  Pereira, PhD",Machine Learning Team,NIMH,"Francisco  Pereira, PhD"
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,"Leslie G Ungerleider, PhD",Section on Neurocircuitry,NIMH,"Leslie G Ungerleider, PhD"
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,Manzar  Ashtari,"University of Pennsylvania, School of Medicine",EM,
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,Tamar  Makin,University College London,EM,
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,Brad  Duchaine,"Dartmouth College, Psychological and Brain Sciences",EM,
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,Avniel  Ghuman,University of Pittsburgh,EM,
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,Tomas  Knapen,Vrije Universiteit Amsterdam,EM,
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,Dwight Jacob Kravitz,"George Washington University, Psychology",EM,
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,Michael  McCloskey,"Johns Hopkins University, Cognitive Science",EM,
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,Anina  Rich,Macquarie University,EM,
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,Peter  Zeidman,University College London,EM,
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,"Carlo  Pierpaoli, MD",NIBIB,NIH,
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,"Bevil Richard Conway, PhD",NEI,NIH,
"Christopher Ian Baker, PhD",Section on Learning and Plasticity,"Kareem Amir Zaghloul, MD, PhD",NINDS,NIH,
"Daniel  Pine, MD",Section on Development and Affective Neuroscience,"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,NIMH,"Ellen  Leibenluft, MD"
"Daniel  Pine, MD",Section on Development and Affective Neuroscience,"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,NIMH,"Ellen  Leibenluft, MD"
"Daniel  Pine, MD",Section on Development and Affective Neuroscience,Nathan  Fox,"University of Maryland, Baltimore",EM,
"David A Leopold, PhD",Neurophysiology Imaging Core,Xiao  Liu,Pennsylvania State University,EM,
"David A Leopold, PhD",Neurophysiology Imaging Core,Kristina  Nielsen,Johns Hopkins University,EM,
"David A Leopold, PhD",Neurophysiology Imaging Core,Franco  Pestilli,Indiana University,EM,
"David A Leopold, PhD",Neurophysiology Imaging Core,Colin  Reveley,University of Oxford,EM,
"David A Leopold, PhD",Neurophysiology Imaging Core,Hiromasa  Takemura,Osaka University,EM,
"David A Leopold, PhD",Neurophysiology Imaging Core,"Jozef H Duyn, PhD",NINDS,NIH,
"David A Leopold, PhD",Neurophysiology Imaging Core,"Okihide  Hikosaka, MD, PhD",NEI,NIH,
"David A Leopold, PhD",Neurophysiology Imaging Core,"Alan Paul Koretsky, PhD",NINDS,NIH,
"David A Leopold, PhD",Neurophysiology Imaging Core,"Carlo  Pierpaoli, MD",NIBIB,NIH,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH,"Yogita  Chudasama, PhD"
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH,"Yogita  Chudasama, PhD"
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Soohyun  Lee, PhD",Unit on Functional Neural Circuits,NIMH,"Soohyun  Lee, PhD"
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Armin  Raznahan, PhD",Unit on Developmental Neurogenomics,NIMH,"Armin  Raznahan, PhD"
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Alexander  Maier,Vanderbilt University,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Marco  Tamietto,University of Turin,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Wim  Vanduffel,University of Leuven,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Kuan Hong Wang,University of Rochester,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Avniel  Ghuman,University of Pittsburgh,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Xiao  Liu,Pennsylvania State University,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Jennifer  Bizley,University College London,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Igor  Bondar,Institute of Higher Nervous Activity and Neurophysiology,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Daniel  Javitt,Nathan Kline Institute for Psychiatric Research,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Cory T Miller,"University of California, San Diego, Psychology",EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Jude F Mitchell,University of Rochester,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Gaurav  Patel,Columbia University Medical Center,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Lizabeth  Romanski,University of Rochester Medical Center,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Kuan hong  Wang,University of Rochester,EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Xiaoqin  Wang,"Johns Hopkins University, BIoengineering",EM,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Jozef H Duyn, PhD",NINDS,NIH,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Okihide  Hikosaka, MD, PhD",NEI,NIH,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Richard J Krauzlis, PhD",NEI,NIH,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Shahriar  SheikhBahaei,NINDS,NIH,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Jozef H Duyn, PhD",NINDS,NIH,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,"Cecil Chern-Chyi Yen, PhD",NINDS,NIH,
"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,Shahriar  SheikhBahaei,NINDS,NIH,
"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,"Mark H Histed, PhD",Unit on Neural Computation and Behavior,NIMH,"Mark H Histed, PhD"
"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,"Mark H Histed, PhD",Unit on Neural Computation and Behavior,NIMH,"Mark H Histed, PhD"
"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,April A. Benasich,"Rutgers, The State University of New Jersey, Center for Molecular and Behavioral Neuroscience",EM,
"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,Dante  Chialvo,"Instituto de Ciencias Fisicas (ICIFI) UNSAM/CONICET, Escuela de Ciencia y Technologia",EM,
"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,P  Kanold,"University of Maryland, Baltimore, Department of Biology",EM,
"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,Behtash  Babadi,"University of Maryland, Baltimore, Dept. of Electrical & Computer Engineering",EM,
"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,Dante  Chialvo,"Instituto de Ciencias Fisicas (ICIFI) UNSAM/CONICET, Escuela de Ciencia y Technologia",EM,
"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,Tommaso  Fellin,"Italian Institute of Technology, Central Reserach Labs Genova",EM,
"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,P  Kanold,"University of Maryland, Baltimore, Department of Biology",EM,
"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,Wolfgang  Losert,"University of Maryland, Baltimore, Department of Physics",EM,
"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,John  Maunsell,"University of Chicago, Research",EM,
"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,Stefano  Panzeri,"Italian Institute of Technology, Dept. of Neuroscience and Cognitive Systems",EM,
"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,Dima  Rinberg,"New York University Langone Medical Center, Dept. of Neuroscience and Physiology",EM,
"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,Shy  Shoham,"New York University Langone Medical Center, Dept. of Ophthalmology",EM,
"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,NIMH,"Christopher Ian Baker, PhD"
"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,Cibu Paul Thomas,Section on Learning and Plasticity,NIMH,"Christopher Ian Baker, PhD"
"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Richard C Saunders, PhD",Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,Benjamin M Basile,"Vassar College, Psychological Science",EM,
"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,Peter H Rudebeck,"Icahn School of Medicine at Mount Sinai, Neuroscience",EM,
"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,Benjamin M Basile,"Vassar College, Psychological Science",EM,
"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,Steve  Chang,"Yale University, Dept. of Psychology",EM,
"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,"Peter  Rapp, PhD",NIA,NIH,
"Elisha Prem Merriam, PhD",Section on Neurocircuitry,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,NIMH,"Christopher Ian Baker, PhD"
"Elisha Prem Merriam, PhD",Section on Neurocircuitry,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Elisha Prem Merriam, PhD",Section on Neurocircuitry,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH,"Kathleen R Merikangas, PhD"
"Elisha Prem Merriam, PhD",Section on Neurocircuitry,"Leslie G Ungerleider, PhD",Section on Neurocircuitry,NIMH,"Leslie G Ungerleider, PhD"
"Elisha Prem Merriam, PhD",Section on Neurocircuitry,Marisa  Carrasco,"New York University, Psychology",EM,
"Elisha Prem Merriam, PhD",Section on Neurocircuitry,Aniruddha  Das,"Columbia University, Department of Neuroscience",EM,
"Elisha Prem Merriam, PhD",Section on Neurocircuitry,Laura  Dugué,"Paris Descartes University, Laboratoire Psychologie de la Perception CNRS-UMR8",EM,
"Elisha Prem Merriam, PhD",Section on Neurocircuitry,Justin  Gardner,"Stanford University, Psychology",EM,
"Elisha Prem Merriam, PhD",Section on Neurocircuitry,David J. Heeger,"New York University, Center for Neural Science",EM,
"Elisha Prem Merriam, PhD",Section on Neurocircuitry,Krystel  Huxlin,"University of Rochester, Department of Ophthalmology",EM,
"Elisha Prem Merriam, PhD",Section on Neurocircuitry,Kendrick  Kay,"University of Minnesota, Department of Radiology",EM,
"Elisha Prem Merriam, PhD",Section on Neurocircuitry,Tomas  Knapen,"Vrije Universiteit Brussel, Department of Psychology",EM,
"Elisha Prem Merriam, PhD",Section on Neurocircuitry,J. Anthony  Movshon,"New York University, Center for Neural Science",EM,
"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,"Melissa A Brotman, PhD",Unit on Neuroscience and Novel Therapeutics,NIMH,"Melissa A Brotman, PhD"
"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,"Francisco  Pereira, PhD",Machine Learning Team,NIMH,"Francisco  Pereira, PhD"
"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,"Argyrios  Stringaris, PhD",Mood Brain & Development Unit,NIMH,"Argyrios  Stringaris, PhD"
"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,James  Blair,Boys Town National Research Hospital,EM,
"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,Daniel  Dickstein,"Brown University, School of Medicine, Department of Psychiatry",EM,
"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,Neir  Eshel,"Stanford University, Department of Psychiatry",EM,
"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,Nathan  Fox,"University of Maryland, Baltimore",EM,
"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,Soonjo  Hwang,"University of Nebraska Medical Center, Psychiatry",EM,
"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,Manish  Jha,"The University of Texas Southwestern Medical Center, Psychiatry",EM,
"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,Theodore  Satterthwaite,University of Pennsylvania,EM,
"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,Julie  Schweitzer,"University of California, Davis, Psychology",EM,
"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,Joel  Stoddard,"University of Colorado Denver, Psychiatry",EM,
"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,Anita  Thapar,Cardiff University,EM,
"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,Wan-Ling  Tseng,"Yale University, Child Study Center",EM,
"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,"David  Goldman, MD",NIAAA,NIH,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Pavan Kumar Auluck, MD, PhD",Human Brain Collection Core,NIMH,"Barbara K Lipska, PhD"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Barbara K Lipska, PhD",Human Brain Collection Core,NIMH,"Barbara K Lipska, PhD"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH,"Barbara K Lipska, PhD"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Joyce  Chung, MD",Office of the Clinical Director,NIMH,"Maryland  Pao, BA, MD"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH,"Kathleen R Merikangas, PhD"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Mani  Yavi,Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Seth  Ament,"University of Maryland, College Park",EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Elliot  Hong,"University of Maryland, College Park",EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Mortiz  Rossner,Ludwig-Maximilians-Universität München,EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Maja  Bucan,University of Pennsylvania,EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Jonathan  Haines,Case Western Reserve University,EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Elliot  Hong,University of Maryland Medical Center,EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,John   Kelsoe,"University of California, San Diego",EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Margaret  Pericak-vance,University of Miami Hospital,EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Thomas  Schulze,University of Göttingen,EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Alan R Shuldiner,"University of Maryland, Baltimore",EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,P  Zandi,"Johns Hopkins University, School of Public Health",EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Margit   Burmeister,University of Michigan–Ann Arbor,EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Brian  Mickey,University of Utah,EM,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Kory R Johnson, PhD",NINDS,NIH,
